# Community_Name,District_Name
AL QOUZ FOURTH,HADAEQ MOHAMMAD BIN RASHID
AL QOUZ IND.FIRST,HADAEQ MOHAMMAD BIN RASHID
AL QOUZ IND.FOURTH,HADAEQ MOHAMMAD BIN RASHID
AL QOUZ IND.SECOND,HADAEQ MOHAMMAD BIN RASHID
AL QOUZ IND.THIRD,HADAEQ MOHAMMAD BIN RASHID
AL QOUZ SECOND,HADAEQ MOHAMMAD BIN RASHID
AL QOUZ THIRD,HADAEQ MOHAMMAD BIN RASHID
AL QUSAIS FIRST,DEIRA
AL QUSAIS IND. FIFTH,DEIRA
AL QUSAIS IND. FIRST,DEIRA
AL QUSAIS IND. FOURTH,DEIRA
AL QUSAIS IND. SECOND,DEIRA
AL QUSAIS IND. THIRD,DEIRA
AL QUSAIS SECOND,DEIRA
AL QUSAIS THIRD,DEIRA
AL RAFFA,BUR DUBAI
AL RAS,DEIRA
AL RASHIDIYA,DEIRA
AL RIGGA,DEIRA
AL ROWAIYAH FIRST,MUSHRIF
AL ROWAIYAH SECOND,MUSHRIF
AL ROWAIYAH THIRD,AL AWEER
AL SABKHA,DEIRA
AL SAFA FIRST,JUMEIRAH
AL SAFA SECOND,JUMEIRAH
AL SAFOUH FIRST,JUMEIRAH
AL SAFOUH SECOND,JUMEIRAH
AL SATWA,JUMEIRAH
AL SELAL,MADINAT AL QUDRA
AL SHINDAGHA,BUR DUBAI
AL SOUQ AL KABEER,BUR DUBAI
AL THANYAH FIFTH,HADAEQ MOHAMMAD BIN RASHID
AL THANYAH FIRST,HADAEQ MOHAMMAD BIN RASHID
AL THANYAH SECOND,HADAEQ MOHAMMAD BIN RASHID
AL THANYAH THIRD,HADAEQ MOHAMMAD BIN RASHID
AL THANYAH FOURTH,HADAEQ MOHAMMAD BIN RASHID
AL TTAY,MUSHRIF
AL TWAR FIRST,DEIRA
AL TWAR SECOND,DEIRA
AL TWAR THIRD,DEIRA
AL WAJEHA AL BAHRIAH,AL WAJEHA AL BAHRIAH
AL WARQA'A FIFTH,MUSHRIF
AL WARQA'A FIRST,MUSHRIF
AL WARQA'A FOURTH,MUSHRIF
AL WARQA'A SECOND,MUSHRIF
AL WARQA'A THIRD,MUSHRIF
AL WASL,JUMEIRAH
AL WOHOOSH,AL AWEER
AL WUHEIDA,DEIRA
AL YALAYIS 1,DUBAI LAND
AL YALAYIS 2,DUBAI LAND
AL YALAYIS 3,DUBAI LAND
AL YALAYIS 4,DUBAI LAND
AL YALAYIS 5,DUBAI LAND
AL YUFRAH 1,DUBAI LAND
AL YUFRAH 2,DUBAI LAND
AL YUFRAH 3,DUBAI LAND
AL YUFRAH 4,DUBAI LAND
ALEYAS,MUSHRIF
AYAL NASIR,DEIRA
BU KADRA,RAS AL KHOR
BURJ KHALIFA,ZABEEL
BUSINESS BAY,ZABEEL
CORNICHE DEIRA,DEIRA
DUBAI INT'L AIRPORT,DEIRA
DUBAI INVESTMENT PARK FIRST,JABAL ALI
DUBAI INVESTMENT PARK SECOND,JABAL ALI
ENKHALI,AL AWEER
GHADEER BARASHY,MADINAT AL QUDRA
GRAYTEESAH,MADINAT AL QUDRA
HADAEQ SHEIKH MOHAMMED BIN RASHID,HADAEQ MOHAMMAD BIN RASHID
HATTA,MADINAT AL QUDRA
HEFAIR,MADINAT AL QUDRA
HESSYAN FIRST,AL WAJEHA AL BAHRIAH
HESSYAN SECOND,AL WAJEHA AL BAHRIAH
HOR AL ANZ EAST,DEIRA
HOR AL ANZ,DEIRA
JABAL ALI FIRST,JABAL ALI
JABAL ALI INDUSTRIAL FIRST,JABAL ALI
JABAL ALI INDUSTRIAL SECOND,JABAL ALI
JABAL ALI INDUSTRIAL THIRD,AL WAJEHA AL BAHRIAH
JABAL ALI SECOND,JABAL ALI
JABAL ALI THIRD,JABAL ALI
JUMEIRA BAY,JUMEIRAH
JUMEIRA FIRST,JUMEIRAH
JUMEIRA ISLAND 2,JUMEIRAH
JUMEIRA ISLAND ONE,JUMEIRAH
JUMEIRA SECOND,JUMEIRAH
JUMEIRA THIRD,JUMEIRAH
LE HEMAIRA,AL AWEER
LEHBAB FIRST,AL AWEER
LEHBAB SECOND,AL AWEER
MADINAT AL MATAAR,MADINAT AL MAKTOUM
MADINAT DUBAI AL MELAHEYAH,BUR DUBAI
MANKHOOL,BUR DUBAI
MARGAB,AL AWEER
MARGHAM,AL AWEER
MARSA DUBAI,JUMEIRAH
ME'AISEM FIRST,JABAL ALI
ME'AISEM SECOND,JABAL ALI
MENA JABAL ALI,JABAL ALI
MEREIYEEL,AL AWEER
MIRDIF,MUSHRIF
MUGATRAH,MADINAT AL QUDRA
MUHAISANAH FIFTH,MUSHRIF
MUHAISANAH FOURTH,DEIRA
MUHAISANAH SECOND,MUSHRIF
MUHAISANAH THIRD,DEIRA
MUHAISNAH FIRST,MUSHRIF
MUSHRAIF,MUSHRIF
NADD AL HAMAR,RAS AL KHOR
NADD AL SHIBA FIRST,HADAEQ MOHAMMAD BIN RASHID
NADD AL SHIBA FOURTH,RAS AL KHOR
NADD AL SHIBA SECOND,RAS AL KHOR
NADD AL SHIBA THIRD,RAS AL KHOR
NADD HESSA,MUSHRIF
NADD SHAMMA,DEIRA
NAIF,DEIRA
NAKHLAT DEIRA,NAKHLAT DEIRA
NAKHLAT JABAL ALI,AL WAJEHA AL BAHRIAH
NAKHLAT JUMEIRA,JUMEIRAH
NAZWAH,AL AWEER
OUD AL MUTEENA FIRST,MUSHRIF
OUD AL MUTEENA SECOND,MUSHRIF
OUD AL MUTEENA THIRD,MUSHRIF
OUD METHA,BUR DUBAI
PORT SAEED,DEIRA
RAS AL KHOR IND. FIRST,RAS AL KHOR
RAS AL KHOR IND. SECOND,RAS AL KHOR
RAS AL KHOR IND. THIRD,RAS AL KHOR
RAS AL KHOR,RAS AL KHOR
REMAH,AL AWEER
RIGGAT AL BUTEEN,DEIRA
SAIH AL DAHAL,MADINAT AL QUDRA
SAIH AL SALAM,MADINAT AL QUDRA
SAIH SHUA'ALAH,MADINAT AL QUDRA
SAIH SHUAIB 1,AL WAJEHA AL BAHRIAH
SAIH SHUAIB 2,MADINAT AL QUDRA
SAIH SHUAIB 3,MADINAT AL QUDRA
SAIH SHUAIB 4,MADINAT AL QUDRA
TRADE CENTER FIRST,JUMEIRAH
TRADE CENTER SECOND,ZABEEL
UMM AL DAMAN,AL AWEER
UMM AL MO'MENEEN,AL AWEER
UMM AL SHEIF,JUMEIRAH
UMM ESELAY,AL AWEER
UMM HURAIR FIRST,BUR DUBAI
UMM HURAIR SECOND,BUR DUBAI
UMM NAHAD FIRST,DUBAI LAND
UMM NAHAD FOURTH,DUBAI LAND
UMM NAHAD SECOND,DUBAI LAND
UMM NAHAD THIRD,DUBAI LAND
UMM RAMOOL,DEIRA
UMM SUQEIM FIRST,JUMEIRAH
UMM SUQEIM SECOND,JUMEIRAH
UMM SUQEIM THIR,JUMEIRAH
WADI AL SAFA 2,DUBAI LAND
WADI AL SAFA 3,DUBAI LAND
WADI AL SAFA 4,DUBAI LAND
WADI AL SAFA 5,DUBAI LAND
WADI AL SAFA 6,DUBAI LAND
WADI AL SAFA 7,DUBAI LAND
WADI ALAMARDI,MUSHRIF
WADI ALSHABAK,MUSHRIF
WARSAN FIRST,MUSHRIF
WARSAN FOURTH,MUSHRIF
WARSAN SECOND,MUSHRIF
WARSAN THIRD,MUSHRIF
WORLD ISLANDS,JUMEIRAH
YARAAH,AL AWEER
ZAA'BEEL FIRST,ZABEEL
ZAA'BEEL SECOND,ZABEEL
